customer_id,recency_days,frequency,monetary,avg_order_value,total_quantity,avg_basket_size,discount_usage_rate,avg_discount_pct,favorite_category,category_diversity,return_rate,first_purchase,last_purchase,avg_purchase_interval_days,total_sessions,avg_pages_viewed,avg_session_duration,conversion_rate,customer_name,gender,age,city,state,signup_date,tenure_days,cluster,segment
CUST100000,5,23,609274.29,26490.18652173913,59,2.5652173913043477,0.391304347826087,4.565217391304348,Electronics,7,0.043478260869565216,2024-02-14,2025-12-26,30.954545454545453,25.0,4.84,3.5388,0.04,Saanvi Sharma,Male,46.0,Kolkata,West Bengal,2025-05-10,235,3,High Value Customers
CUST100001,86,9,262989.41000000003,29221.04555555556,17,1.8888888888888888,0.4444444444444444,6.666666666666667,Electronics,5,0.0,2024-08-25,2025-10-06,50.875,25.0,5.08,4.4012,0.08,Divya Singh,Female,40.0,Bengaluru,Karnataka,2025-11-10,51,2,Price Sensitive Customers
CUST100002,9,16,297532.35,18595.771875,32,2.0,0.625,6.875,Electronics,7,0.0,2024-02-03,2025-12-22,45.86666666666667,24.0,4.708333333333333,3.22625,0.20833333333333334,Isha Nair,Female,41.0,Delhi,Delhi,2023-05-02,974,3,High Value Customers
CUST100003,60,19,127327.38,6701.44105263158,41,2.1578947368421053,0.5263157894736842,7.105263157894737,Sports & Fitness,7,0.21052631578947367,2024-02-15,2025-11-01,34.72222222222222,19.0,4.842105263157895,5.437368421052632,0.05263157894736842,Zoya Gupta,Male,51.0,Bengaluru,Karnataka,2024-04-11,629,3,High Value Customers
CUST100005,43,16,132406.99000000002,8275.436875000001,29,1.8125,0.5,5.9375,Fashion,7,0.0625,2024-03-12,2025-11-18,41.06666666666667,20.0,5.1,3.7405,0.05,Ananya Kumar,Male,55.0,Hyderabad,Telangana,2023-03-29,1008,3,High Value Customers
CUST100006,74,13,78279.17,6021.474615384615,24,1.8461538461538463,0.5384615384615384,11.538461538461538,Sports & Fitness,7,0.07692307692307693,2024-03-07,2025-10-18,49.166666666666664,24.0,5.333333333333333,4.9070833333333335,0.125,Ishaan Reddy,Male,54.0,Lucknow,Uttar Pradesh,2025-05-21,224,3,High Value Customers
CUST100007,9,11,97130.99,8830.09,17,1.5454545454545454,0.5454545454545454,6.363636363636363,Books & Stationery,6,0.18181818181818182,2024-02-25,2025-12-22,66.6,32.0,4.46875,4.0959375,0.0625,Divya Sharma,Female,21.0,Bengaluru,Karnataka,2023-05-11,965,1,Occasional Buyers
CUST100008,32,26,451914.38,17381.32230769231,49,1.8846153846153846,0.5,7.3076923076923075,Fashion,7,0.038461538461538464,2024-01-09,2025-11-29,27.6,36.0,5.25,3.680277777777778,0.1111111111111111,Riya Menon,Female,51.0,Ahmedabad,Gujarat,2025-02-08,326,3,High Value Customers
CUST100009,82,15,172689.61000000002,11512.640666666668,32,2.1333333333333333,0.4,5.333333333333333,Beauty & Personal Care,6,0.0,2024-01-14,2025-10-10,45.357142857142854,16.0,5.3125,4.481875,0.25,Vivaan Patel,Male,59.0,Tiruppur,Tamil Nadu,2023-12-10,752,3,High Value Customers
CUST100010,35,3,4686.06,1562.0200000000002,6,2.0,0.6666666666666666,16.666666666666668,Books & Stationery,2,0.0,2024-05-08,2025-11-26,283.5,3.0,3.3333333333333335,5.473333333333334,0.3333333333333333,Isha Kumar,Female,39.0,Chennai,Tamil Nadu,2025-03-16,290,0,New Customers
